标题,作者,年份,摘要,卷号,期号,期刊
数字经济时代下的公司治理研究：范式创新与实践前沿,陈德球;胡晴;,2022,数字经济催生大量的新技术、新业态和新模式，深度变革微观企业的发展环境与互动方式，极大地挑战了以委托代理成本和信息不对称为两大支柱的传统公司治理研究，对新经济下的公司治理结构和公司治理机制探索提出更高的要求和挑战。本文以数字经济推动公司治理观念与公司治理模式创新的需求为导向，立足数字经济时代不断涌现的公司治理创新实践，在系统梳理经典研究脉络的基础上，结合数字经济时代公司治理边界突破的逻辑与路径，遵循“技术赋能—数据驱动—治理重构”的逻辑思路，提炼归纳新经济下的研究范式和研究框架：从股东中心向企业家中心转变，聚焦掌握企业核心技术和关键资源的创始人及业务团队，高度重视人力资本及技术资本的长效价值。在此逻辑体系下，本文从大数据赋能资本市场治理、大数据驱动产品竞争市场治理和大数据重构控制权市场治理等维度深入分析新时代下公司治理研究的新机制和新路径，推动新型治理生态模式构建，并结合当今公司治理的实践前沿，从内部公司治理结构和外部公司治理机制等方面提供切实可行的视角拓展和思路启发。最后，本文在展望研究前景的同时也正视转型阶段下的现实困难和研究挑战，鼓励学者充分利用实践素材，开展扎根本土、实证分析与案例探索并存的高质量研究，拓展数字经济时代公司治理决策新范式，推进国家治理体系和治理能力现代化建设的微观实现路径，积极应对数字经济下公司治理价值重塑与研究范式转变的机遇和挑战。,38,06,管理世界
数字经济赋能乡村振兴：理论机制、制约因素与推进路径,张蕴萍;栾菁;,2022,我国农村摆脱了绝对贫困，向着乡村全面振兴的方向迈进。与此同时，我国高速发展的数字经济正在成为驱动经济社会全方位高质量发展的重要引擎，数字经济赋能乡村建设是乡村振兴的重要战略方向。数字经济通过将数据要素纳入农业生产、将数字产品和服务融入农民生活、将数字化思维融入农村政务服务，助力农业产业的多元化与集约化、农民的技能提升与精神生活的满足、乡村治理的数字化与智能化，为实现乡村产业振兴、生态振兴、人才振兴、文化振兴和组织振兴提供了数字化动力。现阶段，薄弱的信息基础设施、短缺的数字人才以及不充分的数据共享等因素制约了数字经济对乡村振兴赋能作用的有效发挥。为此，需要通过政策体系的引导，找准数字经济与乡村振兴的结合点，探索赋能作用有效发挥的途径。,,05,改革
数字技术赋能实体经济转型发展——基于熊彼特内生增长理论的分析框架,田秀娟;李睿;,2022,数字技术是数字经济的基础，通过与实体企业和金融的融合共建赋能实体经济转型发展，孕育经济增长新动能。本文基于“创造性毁灭”机制，建立引入数字技术发展因素的多部门熊彼特内生增长动态随机一般均衡模型，分析了数字技术在实体产业部门和金融部门的应用转化对产业结构转型及经济增长的异质性影响。研究表明，数字技术与生产部门的集成整合将长期助力产业结构优化调整，深化实体经济数字化转型，推动经济高质量发展；数字技术与金融部门的深度融合在短期内因融资约束缓解而显著带动高技术产业发展，促进产业结构转型升级，加快经济增长动能转换。本文的研究为探索我国数字技术赋能实体经济转型发展的优化路径提供了政策参考。,38,05,管理世界
数字经济、非农就业与社会分工,田鸽;张勋;,2022,数字经济已经成为中国经济发展的新动能。本文以“宽带中国”政策作为数字经济发展的代理变量，将其与中国家庭追踪调查（CFPS）数据相结合，借助于双重差分法，发现数字经济能够显著促进非农就业。本文接着从数字经济的两大核心内涵（消费互联网和工业互联网）出发探讨了数字经济推动农村劳动力非农就业的内在机制：数字经济所带来的消费互联网（以数字金融为代表）的发展促进了农村低技能劳动力向低技能偏向的数字化非农行业流动，数字经济所带来的工业互联网（以自动化和智能化为代表）的发展促进了农村高技能劳动力向高技能偏向的数字化非农行业流动，这意味着数字经济能够依据劳动力技能实现有效的社会分工。这些发现均证实了数字经济的发展有助于推动经济结构转型。,38,05,管理世界
企业数字化能否促进绿色技术创新？——基于重污染行业上市公司的考察,宋德勇;朱文博;丁海;,2022,"在数字经济快速发展的背景下,企业数字化能否促进绿色技术创新引起了学术界的关注。已有研究对企业数字化水平的度量缺乏统一的标准,并且没有对企业数字化影响绿色技术创新的微观路径进行全面深入的检验。区别于现有研究,文章不仅基于无形资产数据度量企业的数字化水平,还对上市公司年度报告进行了更细化的文本分析,用在“管理层讨论与分析”的“业绩回顾”中的数字化词频占比来度量企业实际的数字化水平,并运用网络招聘大数据对构造的指标进行检验。在此基础上,文章考察重污染行业企业数字化对绿色技术创新的影响,并运用上市公司专利申请明细数据对微观作用机制进行探讨与检验。研究表明,重污染行业企业的数字化能够显著促进企业绿色技术创新,这一结论在经过IV估计、反事实分析和改变估计方法等一系列稳健性检验后依然显著成立。机制分析表明,企业数字化主要通过提升企业的信息共享水平和知识整合能力从而促进企业绿色技术创新。异质性分析表明,对于环保投资水平更高以及所在地区环境规制力度更强的企业,数字化产生的绿色创新激励效应更大。文章清晰揭示了企业数字化促进企业绿色创新的机理,拓展了企业数字化的相关研究,剖析了企业数字化与绿色可持续发展实现兼容的路径。这对于中国在全球数字化浪潮下实现经济绿色转型和“碳达峰”“碳中和”目标具有重要的政策启示,也可以为中国数字经济发展提供有意义的参考。",48,04,财经研究
数字化转型、知识溢出与企业全要素生产率——来自制造业上市公司的经验证据,涂心语;严晓玲;,2022,在当前中国数字经济和实体经济逐渐融合的发展背景下，深入探索企业数字化转型与全要素生产率的关系对于经济实现高质量发展具有重要意义。基于2007—2019年制造业上市公司年报文本数据构建了企业数字化指数，在此基础上研究了数字化转型对企业全要素生产率的影响，并采用倾向得分匹配法为数字化转型程度高的企业构造了各种特征相似的数字化转型程度低的企业对照样本，通过反事实方法实证检验了数字化转型对企业间知识溢出的影响。主要结论如下：(1)企业数字化转型对其全要素生产率有显著的提升作用，在进行一系列稳健性检验后此结论仍然成立。(2)随着时间推移，数字化转型对企业全要素生产率的影响更为明显，这一方面可能表明当期所进行的数字化转型举措对企业的影响存在一定滞后，另一方面可能意味着测算得到的数字化指数部分反映了企业对数字化转型的预期或前期投入。(3)数字化转型能够通过加速企业间知识溢出进而促进其全要素生产率的提升，因此数字化增强了经济内生增长动力。研究结论为数字经济与实体经济的融合效果提供了微观证据，具有重要的政策含义：政府应通过政策倾斜等方式鼓励企业进行数字化转型，同时采取各项措施降低知识溢出的外部门槛，通过数字化转型与知识溢出的良性互动，推动经济实现高质量发展。,,02,产业经济研究
数字经济发展对碳排放的影响——基于278个地级市的面板数据分析,缪陆军;陈静;范天正;吕雁琴;,2022,“30·60”的双碳目标提出后，低碳发展成为国内各界关注的焦点。与此同时，基于互联网、大数据、云计算等新技术的数字经济成为助推我国经济高质量发展的重要引擎。数字经济在推动经济创新发展的同时，是否也能促进我国低碳发展?本文基于2011-2019年中国278个地级市面板数据，运用多种计量模型系统探究数字经济发展对碳排放的影响及作用机制。研究发现：第一，数字经济发展对碳排放的影响具有非线性特征，二者间呈现倒U型关系；第二，数字经济发展与创新效率之间存在U型的非线性关系，且数字经济发展能够通过创新效率进而对碳排放产生间接影响；第三，数字经济发展对碳排放的非线性影响具有空间效应，但相较于对本地的影响，其产生的空间溢出效应较弱。基于以上研究结论，提出如下启示：第一，要加快承载数字技术和平台的新型基础设施建设，提高节能减排效率，减少数字经济发展中的能源消耗，促进数字经济内涵式增长；第二，在数字经济发展中要重视创新效率的提高，保障创新投入，降低投入产出损耗，从而确保创新产出的高效和高质。,,02,南方金融
企业数字化转型会降低债务违约风险吗？,王守海;徐晓彤;刘烨炜;,2022,本文以2008—2019年A股上市公司为研究样本，系统考察企业数字化转型对债务违约风险的影响。研究发现，企业数字化转型能显著降低债务违约风险，且较高的经济政策不确定性会促进企业数字化转型降低债务违约风险的作用。基于企业微观特征的异质性分析发现，在东部地区企业和高科技企业中，数字化转型对债务违约风险的降低作用更为显著。机制检验表明，数字化转型降低债务违约风险主要通过降低经营风险、缓解融资约束和减少代理成本三条路径实现。本文结论有助于更深刻地理解数字化转型对企业高质量发展的驱动作用，更全面地评估企业数字化转型的实施效果。,,04,证券市场导报
企业数字化转型：再认识与再出发,姚小涛;亓晖;刘琳琳;肖婷;,2022,数字化转型是数字经济时代企业生存和发展的关键战略选择。企业数字化转型是企业利用数字技术的组合触发组织属性的重大变革并改进组织的过程，其深刻复杂性对相关理论的发展提出了挑战。企业数字化转型是外部因素和内部因素共同作用下的必然产物，将为企业、产业、国民经济和社会进步带来新的发展动力。企业数字化转型的关键因素可以分为个体（团队）、组织和产业三个层面。个体层面包括具有数字领导力的管理者、具备数字化思维的员工和科学合理的数字化转型团队；组织层面包括数字化转型的自主权、匹配的组织设计和有价值的数据；产业层面包括新的顾客价值、新的包含数字化特征的生产函数和完善的转型生态体系。在系统阐述企业数字化转型的内涵、动因和关键因素基础上，根据“认知—战略定位—战略实施”逻辑构建了一个企业数字化转型的动态过程模型，据此提出评估管理者对企业数字化转型的认知，明确企业数字化转型的战略定位，平衡数字化转型战略实施中人与技术的关系，保持数字化转型认知、战略定位和战略实施的一致性，把控数字化转型的节奏等管理策略，以保障企业数字化转型的成功。,42,03,西安交通大学学报(社会科学版)
数字经济发展对制造业企业资源配置效率的影响研究,韦庄禹;,2022,研究目标:在数字经济蓬勃发展的背景下，基于我国数字经济发展和制造业企业资源配置效率的特征事实，考察城市数字经济发展对微观制造业企业资源配置效率的影响。研究方法:拓展了Hsieh和Klenow(2009)对宏观资源配置效率的测算框架，测度上市公司制造业企业的资源配置效率，使用面板固定效应法和工具变量法进行了实证检验。研究发现:在考察期内，我国数字经济发展态势良好，我国制造业企业资源配置效率水平呈现出先降低后升高的变化态势；城市数字经济发展显著提升了制造业企业的资源配置效率；数字经济发展可以显著提升中西部地区制造业企业的资源配置效率，但对东部地区制造业企业资源配置效率的影响不显著；数字经济发展可以显著提升一般城市和人口规模小于等于500万人的城市内制造业企业的资源配置效率，但对重点城市和人口规模大于500万人的城市内制造业企业资源配置效率的影响不显著；数字经济发展可以显著提升非国有制造业企业的资源配置效率，但对国有制造业企业资源配置效率的影响不显著；数字经济发展可以显著提升垄断性行业内企业的资源配置效率，但对竞争性行业内企业资源配置效率的影响不显著。研究创新:利用企业实际产出规模与最优产出规模的差异来衡量制造业企业的资源配置效率，考察了不同地区、不同城市、不同企业所有制、不同行业下数字经济发展对制造业企业资源配置效率的影响。研究价值:为经济新常态下制造业企业资源配置效率的提升提供了一个新视角。,39,03,数量经济技术经济研究
